sample_id,a1_assignment,a1_species,a1_clade,genbank_label_original,genbank_species,match_status,voucher,locality,country,lat,lon,voucher_status,notes_on_identity,source
ZJPJ11,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJPJ11,"Jinhua, Zhejiang",China,29.4847,120.0118,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJPJ15,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJPJ15,"Jinhua, Zhejiang",China,29.4847,120.0118,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSHX06,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSHX06,"Huangxing, Zhoushan",China,30.1989,122.6412,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSKZ08,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSKZ08,"Kuzhu,Zhoushan",China,29.9928,122.2436,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
GZBY01,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,GZBY01,Guangzhou,China,23.2857,113.3058,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
GZBY02,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,GZBY02,Guangzhou,China,23.2857,113.3058,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
GZBY04,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,GZBY04,Guangzhou,China,23.2857,113.3058,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
GZBY05,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,GZBY05,Guangzhou,China,23.2857,113.3058,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
HNXY05,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,HNXY05,Shanghai,China,32.1469,114.091,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJPH12,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJPH12,"Shaoxing, Zhejiang",China,30.6396,121.0488,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSBQ11,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSBQ11,"Baiquan, Zhoushan",China,30.0567,122.1578,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSDD03,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSDD03,"Daidong, Zhoushan",China,30.2902,122.1947,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSDF01,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSDF01,"Dongfu, Zhoushan",China,30.1442,122.7575,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSDF03,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSDF03,"Dongfu, Zhoushan",China,30.1442,122.7575,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSDH02,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSDH02,"Donghai, Zhoushan",China,30.7083,122.4992,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSDJ12,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSDJ12,"Daijia, Zhoushan",China,30.0198,122.0332,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSGJ01,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSGJ01,"Shaoxing, Zhejiang",China,29.8833,121.9823,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSGL04,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSGL04,"Ganlan,Zhoushan",China,30.1121,122.1305,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSGQ06,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSGQ06,"Gouqi, Zhoushan",China,30.7162,122.7724,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSHL03,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSHL03,"Huanglong, Zhoushan",China,30.728,122.8146,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSHN01,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSHN01,"Huaniao, Zhoushan",China,30.8474,122.6917,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSHX06,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSHX06,"Huangxing, Zhoushan",China,30.1989,122.6412,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSJH01,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSJH01,"Jihu, Zhoushan",China,30.7182,122.4624,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSKZ08,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSKZ08,"Kuzhu, Zhoushan",China,29.9928,122.2436,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSMZH01,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSMZH01,"Miaozihu, Zhoushan",China,30.1976,122.6792,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSMZH02,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSMZH02,"Miaozihu, Zhoushan",China,30.1976,122.6792,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSMZH03,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSMZH03,"Miaozihu, Zhoushan",China,30.1976,122.6792,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSNP03,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSNP03,"Nanpu, Zhoushan",China,30.2667,122.1385,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSQB04,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSQB04,"Qingbang, Zhoushan",China,30.1995,122.7069,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSQS02,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSQS02,"Qushan, Zhoushan,",China,30.4371,122.3516,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSSN05,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSSN05,"Shengshan, Zhoushan",China,30.7239,122.811,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSSN09,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSSN09,"Sannong, Zhoushan",China,30.4454,122.2938,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSSS05,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSSS05,"Sannong, Zhoushan",China,30.4454,122.2938,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSTT06,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSTT06,"Tiantu,Zhoushan",China,30.4386,122.41,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSXYS01,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSXYS01,"Xiaoyangshan,Zhoushan",China,30.6411,122.0611,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSYD09,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSYD09,"Yandun,Zhoushan",China,30.136,122.0198,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZSZM14,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZSZM14,"Zhanmao,Zhoushan",China,30.0476,122.2564,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
Full mtDNA,Fejervarya kawamurai (Clade I),Fejervarya kawamurai,Clade I,Fejervarya kawamurai,Fejervarya kawamurai,match,Full mtDNA,"Zunyi city, Guizhou",China,27.7083,106.92,Verified,"Consistent with current labelling,  F. kawamurai, but clustered with Clade II",Cheng et al. (2014)
ZJLX05,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJLX05,"Jinhua, Zhejiang",China,29.3642,119.8111,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJLX06,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJLX06,"Zhejiang, China",China,29.3642,119.8111,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJLX08,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJLX08,"Zhejiang, China",China,29.3642,119.8111,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJLX09,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJLX09,"Zhejiang, China",China,29.3642,119.8111,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJLX12,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJLX12,"Zhejiang, China",China,29.3642,119.8111,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJLX14,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJLX14,"Zhejiang, China",China,29.3642,119.8111,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJLX15,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJLX15,"Zhejiang, China",China,29.3642,119.8111,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJPH02,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJPH02,"Zhejiang, China",China,30.6396,121.0488,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJPH03,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJPH03,"Zhejiang, China",China,30.6396,121.0488,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
ZJPH04,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,Fejervarya limnocharis,Fejervarya limnocharis,mismatch,ZJPH04,"Zhejiang, China",China,30.6396,121.0488,Verified,"Labelled as F. limnocharis in GenBank, but phylogenetically clusters within F. kawamurai [Clade II]",Yang et al. (2022)
