sample_id,genbank_species,a1_assignment,a1_species,a1_clade,country,locality,match_status,source
ZWc_BHQ14_DT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_BZ09_BZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_BZ10_BZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_BZ13_BZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_BZ23_BZ,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_DL01_DL,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_DL02_DL,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_DL03_DL,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_DL11_DL,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_DL17_DL,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_DL18_DL,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_DT12_DT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_DT2_DT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_DT5_DT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_DT8_DT,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_HS14_HS,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_HS16_HS,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
ZWc_HS17_HS,Fejervarya multistriata,Fejervarya kawamurai (Clade II),Fejervarya kawamurai,Clade II,China,"Chongming, Shanghai",mismatch,"Ding and Chen (2021), direct submission"
